Date,3690.HK,600588.SS,BABA,BIDU,BILI,FXI,JD,KWEB,NTES,PDD,TCEHY,TCOM,New_cases,restriction_gatherings,Year_Month,CPI,Unemployment
2021-10-19,275.94203488262383,142.12126839608754,80.5387434859233,129.5036886262078,385.48925630157925,96.34800305365057,225.04639386256594,102.7312689369898,155.29648771090908,236.52679535726452,132.1614282874717,84.60914161162854,30.0,4,2021Oct,1.5,4.9
2021-10-20,283.8647225052838,143.55551391686257,80.6206439601837,130.92172269982754,393.3651582862596,96.53103770577658,226.6896327040685,103.68158064141993,156.8124922386508,241.08659381393585,131.61723313490597,84.36570057939646,38.0,4,2021Oct,1.5,4.9
2021-10-21,278.64733709805256,141.1650936020407,80.72985153560265,130.66126791240734,394.36754051454164,96.43952037971357,222.55499964808766,103.35188341653362,157.40032878326596,235.6294023878358,131.07300708147423,84.39275015621995,29.0,4,2021Oct,1.5,4.9
2021-10-22,279.42030164930554,141.99087334676514,80.85725690205554,128.51974954478646,391.8854199726616,96.55392590181442,220.16962485523135,102.36277586471196,158.15831317070868,240.23770107077064,130.186152224928,82.33702875024868,51.0,4,2021Oct,1.5,4.9
2021-10-25,277.1014374811292,142.07779226611657,80.16107509855517,126.94978995154325,386.49163852986123,96.85136607604129,223.2971148682288,102.53732145435764,158.52959466510183,244.09410746306713,131.09316989659257,78.71246800277028,47.0,4,2021Oct,1.5,4.9
2021-10-26,273.42995169082127,137.99236133731776,77.34904772646686,122.14585468095531,363.4367380279054,94.90656084554776,215.95548759864042,96.95179113846322,152.99156065746166,226.02474769843667,126.53796507445061,78.06329363654449,55.0,4,2021Oct,1.5,4.9
2021-10-27,259.5169141096769,132.8638200248254,77.00322720917607,121.36449031869473,365.87111567782256,93.83118794169697,214.3122280259252,96.21480499390753,155.23461143438314,223.84186742710185,126.63874824917625,78.30673466877657,66.0,4,2021Oct,1.5,4.9
2021-10-28,262.9951808763587,133.55922139052268,77.25803794208187,122.05904009831332,364.916439924347,94.03711078986083,214.4712364271455,96.21480499390753,154.66226779413697,224.22992475063143,126.41703453503969,78.09034321336797,52.0,4,2021Oct,1.5,4.9
2021-10-29,260.4830976845561,138.20966697084398,75.05118953218069,117.37809583296628,349.88067008296014,92.27535794053749,207.4741619122222,92.58808788866997,150.9650887659997,215.6682007183992,122.5269708553074,77.25182180937782,72.0,4,2021Oct,1.5,4.9
2021-11-01,258.35748202558875,134.211146626249,77.43094820072726,123.22385025323497,385.1551288921519,93.94560232831991,218.65889992514997,97.55300372502056,158.8389760477315,226.72812125833755,124.82472835628018,79.57803382440464,99.0,4,2021Nov,2.3,5.0
2021-11-02,261.8357487922705,136.5146480217194,74.12294249879903,117.39979947862678,371.9808948314405,91.38302855333481,213.88815033943735,93.86810475656777,155.141808937213,223.81760806173315,117.52833860489234,78.2526355151296,77.0,4,2021Nov,2.3,5.0
2021-11-03,267.6328502415459,137.2969683067681,75.64271841532442,119.64259416633382,378.04293109309555,92.16094355391455,215.6374293337745,95.12872767006048,158.37489205616822,224.08440556736707,122.16416378664157,77.41411927031871,115.0,4,2021Nov,2.3,5.0
2021-11-04,276.3285024154589,138.0792885918168,74.98293219389195,117.62407784344803,360.286399084327,91.61183073301441,212.827997585643,92.78202743272072,156.67327061646742,210.21100929229917,121.33777419980083,77.38706969349522,114.0,4,2021Nov,2.3,5.0
2021-11-05,267.43960173233694,139.03545505071605,72.22550513797724,114.47691674874531,357.1360237235923,90.01021547525717,205.59236900646388,90.84260023788752,157.02907112411032,202.93475405749913,118.09269657257637,81.71489880166712,87.0,4,2021Nov,2.3,5.0
2021-11-08,262.0289973014795,138.03582079699348,73.78623129163283,116.7848334129281,369.1169404053266,91.01694152003861,205.32734118362166,93.16991445940364,160.12292070326345,201.89182340033219,120.5315397028619,84.17635870081135,94.0,4,2021Nov,2.3,5.0
2021-11-09,261.25603275022644,141.68664045873984,72.88983907140025,116.93676997204578,369.59426007348617,90.28478518249037,204.58522596348053,92.85960325034101,155.97713867031314,201.89182340033219,120.63232287758754,82.25588001977823,65.0,4,2021Nov,2.3,5.0
2021-11-10,268.019317774381,141.20856973201165,74.6098184615861,116.88612077250849,388.1145326850351,91.10846771062371,206.0429411827509,94.99296998922496,159.6124295043057,209.82295196876964,124.64332482194729,82.17473128930779,61.0,4,2021Nov,2.3,5.0
2021-11-11,272.8502356487772,141.03471522301354,76.37530274396444,121.00997904041625,404.9164617746408,94.72351732889965,223.164580225595,99.93849187117047,170.58016636519065,225.2486145469036,125.89297902194278,83.68947663634721,72.0,4,2021Nov,2.3,5.0
2021-11-12,279.99998820576695,143.51205445718685,75.90207686022076,123.40472132673526,410.73985641079423,94.76927599193115,227.80281589988647,100.69487197013125,171.94149211923627,230.414749102001,126.37672435523604,83.66242705952372,110.0,4,2021Nov,2.3,5.0
2021-11-15,279.80676918214067,142.0343494767361,75.77921920575842,122.0300945444365,407.3985458993644,94.05999898589867,224.27778415262569,99.18211971079113,171.9878993266307,221.6104869295036,125.95345201686476,83.50013475776208,61.0,4,2021Nov,2.3,5.0
2021-11-16,287.34298927196556,142.77319363181385,76.63920890085134,123.91115812463723,424.91643628263137,95.24975968280613,227.21972981217831,100.46214451727033,172.00336839576218,227.89231173340013,130.24664067028306,81.06572443544134,37.0,4,2021Nov,2.3,5.0
2021-11-17,282.7053199067784,138.64429490819168,73.52231819167419,117.0742337542251,386.7780230473257,94.17439564347742,220.38166369847528,97.30087437917317,174.01437121809266,217.72980266736442,129.46056126324595,79.4427910994665,34.0,4,2021Nov,2.3,5.0
2021-11-18,275.7487863734149,135.16732142029582,65.34103986524332,111.67703606359898,320.38186301795895,92.13806422239881,233.50120432797237,93.96507452859314,173.93703779005398,206.35460290000265,125.77204848253186,79.6591825548751,43.0,4,2021Nov,2.3,5.0
2021-11-19,271.30433603185384,135.25424867479487,63.85766647385756,109.80321439161457,320.38186301795895,92.68718590782102,242.64512030270885,93.98446848299822,178.74798979565813,198.5690120193035,127.38450975119318,78.52312612418515,31.0,4,2021Nov,2.3,5.0
